caiwu.yctc.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
cjbi.cslg.edu.cn,N,Error code:51,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
gwedu.ntu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
www.lygtc.net.cn/s/36/main.htm,N,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
jijian.njfu.edu.cn,Y,Error: peer's certificate or fingerprint wasn't verified fine,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
xsgl.thxy.org,Y,Error: peer's certificate or fingerprint wasn't verified fine,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
jjc.njucm.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
zfjw.sdns.ntpc.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
nau.edu.cn,Y,Error code:51,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
dxglxt.jsviat.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
www.jnys.cn/hzjl,Y,Error: peer's certificate or fingerprint wasn't verified fine,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
cie.njue.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
ibms.suda.edu.cn,Y,Error code:51,N,Error: timeout,Error: timeout,Error: timeout
silin.njmu.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
jtx.hyit.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
openmeetings.ivt.edu.cn:5080,N,Error: ssl connect error,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
wg.cucn.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
snzx.xznu.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
xtw.hhit.edu.cn,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
yjsc.ycit.cn/index.html,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
wys.tzu.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
kjc.jit.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
mit.usts.edu.cn,Y,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
nerc.jcet.edu.cn,Error: timeout,Error: timeout,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
woa2.cczu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
kdyx.njmu.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
gjspgb.njue.edu.cn,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
122.195.139.208:8090,Y,Error: ssl connect error,N,N,N,N
auth.sdwz.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
njna.nuist.edu.cn,Y,Y,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
yjsc.yzu.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
hqfwzx.xzit.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
znms.ccit.js.cn,Error: cannot connect,Error: cannot connect,Error: cannot connect,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
210.29.176.59,Error: cannot connect,Error: cannot connect,Error: cannot connect,N,N,N
kjy.yzu.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
xgc.xzyz.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
www2.cczu.edu.cn,Error: timeout,Error: timeout,Error: timeout,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
ydht.cczu.edu.cn,Y,Error: cannot connect,N,Error: cannot resolve,Error: cannot resolve,Error: cannot resolve
